"Date","Price","Open","High","Low","Vol.","Change %"
"07/28/2020","331.38","331.38","331.38","331.38","","0.00%"
"07/27/2020","331.38","331.38","331.38","328.42","","-0.16%"
"07/24/2020","331.90","331.90","331.90","331.90","","0.58%"
"07/23/2020","329.98","329.98","329.98","329.98","","0.00%"
"07/22/2020","329.98","329.98","329.98","329.98","","1.56%"
"07/21/2020","324.90","324.90","324.90","324.90","","-3.50%"
"07/20/2020","336.70","336.70","336.70","336.70","","0.00%"
"07/17/2020","336.70","336.70","336.70","336.70","","0.00%"
"07/16/2020","336.70","336.70","336.70","336.70","","0.00%"
"07/15/2020","336.70","336.70","336.70","336.70","","0.00%"
"07/14/2020","336.70","336.70","336.70","336.70","","0.15%"
"07/13/2020","336.18","335.73","336.18","335.73","","-0.79%"
"07/10/2020","338.86","338.86","338.86","338.86","","0.00%"
"07/09/2020","338.86","338.86","338.86","338.86","","0.00%"
"07/08/2020","338.86","325.43","338.86","325.43","","6.00%"
"07/07/2020","319.69","323.50","323.50","319.69","","-1.18%"
"07/06/2020","323.50","323.50","323.50","323.50","","-2.30%"
"07/03/2020","331.12","331.12","331.12","331.12","","-1.70%"
"07/02/2020","336.86","336.86","336.86","336.86","","-0.15%"
"07/01/2020","337.38","337.38","337.38","337.38","","0.00%"
"06/30/2020","337.38","337.38","337.38","337.38","","0.00%"
"06/29/2020","337.38","337.38","337.38","337.38","","-6.97%"
"06/26/2020","362.66","362.66","362.66","362.66","","0.00%"
"06/25/2020","362.66","357.03","362.66","357.03","","2.26%"
"06/24/2020","354.63","349.83","354.63","349.83","","-0.63%"
"06/23/2020","356.87","356.87","356.87","356.87","","-1.72%"
"06/22/2020","363.13","363.13","363.13","363.13","","0.00%"
"06/19/2020","363.13","356.87","363.13","356.87","","0.32%"
"06/18/2020","361.96","361.96","361.96","361.96","","0.00%"
"06/17/2020","361.96","361.96","361.96","361.96","","-0.46%"
"06/16/2020","363.65","359.84","363.65","359.84","","1.06%"
"06/15/2020","359.84","359.84","359.84","359.84","","0.00%"
"06/12/2020","359.84","359.84","359.84","359.84","","0.00%"
"06/11/2020","359.84","359.84","359.84","359.84","","0.38%"
"06/10/2020","358.46","360.57","360.57","358.46","","0.00%"
"06/09/2020","358.46","358.46","358.46","358.46","","0.00%"
"06/08/2020","358.46","358.46","358.46","358.46","","0.00%"
"06/05/2020","358.46","362.27","362.27","358.46","","0.58%"
"06/04/2020","356.38","356.38","356.38","356.38","","-1.66%"
"06/03/2020","362.38","356.38","362.38","356.38","","0.90%"
"06/02/2020","359.15","359.15","359.15","359.15","","-0.13%"
"06/01/2020","359.61","359.61","359.61","359.61","","-0.35%"
"05/29/2020","360.88","360.88","360.88","360.88","","-0.12%"
"05/28/2020","361.31","361.31","361.31","361.31","","0.00%"
"05/27/2020","361.31","361.31","361.31","361.31","","0.83%"
"05/26/2020","358.34","358.34","358.34","358.34","","0.00%"
"05/25/2020","358.34","358.34","358.34","358.34","","0.36%"
"05/22/2020","357.07","357.54","357.54","357.07","","-0.13%"
"05/21/2020","357.54","358.34","360.45","357.54","","4.68%"
"05/20/2020","341.54","343.66","343.66","341.54","","-0.62%"
"05/19/2020","343.66","343.66","343.66","341.96","","4.40%"
"05/18/2020","329.19","328.38","329.65","328.38","","-2.03%"
"05/15/2020","336.00","335.07","336.00","335.07","","1.73%"
"05/14/2020","330.30","330.30","330.30","330.30","","0.00%"
"05/13/2020","330.30","330.30","330.30","330.30","","0.00%"
"05/12/2020","330.30","330.30","330.30","330.30","","0.00%"
"05/11/2020","330.30","330.30","330.30","330.30","","0.22%"
"05/07/2020","329.57","329.57","329.57","329.57","","0.00%"
"05/06/2020","329.57","329.57","329.57","329.57","","0.00%"
"05/05/2020","329.57","329.57","329.57","329.57","","0.71%"
"05/04/2020","327.26","327.26","327.26","327.26","","0.00%"
"04/30/2020","327.26","327.26","327.26","327.26","","0.00%"
"04/29/2020","327.26","327.26","327.26","327.26","","-0.88%"
"04/28/2020","330.18","325.95","330.18","325.95","","1.30%"
"04/27/2020","325.95","324.10","325.95","324.10","","0.57%"
"04/24/2020","324.10","328.84","328.84","324.10","","0.08%"
"04/23/2020","323.83","324.57","325.95","323.83","","-0.23%"
"04/22/2020","324.57","324.14","324.57","324.14","","-0.86%"
"04/21/2020","327.37","327.37","327.37","327.37","","0.13%"
